STATE,YEAR,ELECTORAL_VOTES
ALABAMA,2000,9
ALASKA,2000,3
ARIZONA,2000,8
ARKANSAS,2000,6
CALIFORNIA,2000,54
COLORADO,2000,8
CONNECTICUT,2000,8
DISTRICT OF COLUMBIA,2000,3
DELAWARE,2000,3
FLORIDA,2000,25
GEORGIA,2000,13
HAWAII,2000,4
IDAHO,2000,4
ILLINOIS,2000,22
INDIANA,2000,12
IOWA,2000,7
KANSAS,2000,6
KENTUCKY,2000,8
LOUISIANA,2000,9
MAINE,2000,4
MARYLAND,2000,10
MASSACHUSETTS,2000,12
MICHIGAN,2000,18
MINNESOTA,2000,10
MISSISSIPPI,2000,7
MISSOURI,2000,11
MONTANA,2000,3
NEBRASKA,2000,5
NEVADA,2000,4
NEW HAMPSHIRE,2000,4
NEW JERSEY,2000,15
NEW MEXICO,2000,5
NEW YORK,2000,33
NORTH CAROLINA,2000,14
NORTH DAKOTA,2000,3
OHIO,2000,21
OKLAHOMA,2000,8
OREGON,2000,7
PENNSYLVANIA,2000,23
RHODE ISLAND,2000,4
SOUTH CAROLINA,2000,8
SOUTH DAKOTA,2000,3
TENNESSEE,2000,11
TEXAS,2000,32
UTAH,2000,5
VERMONT,2000,3
VIRGINIA,2000,13
WASHINGTON,2000,11
WEST VIRGINIA,2000,5
WISCONSIN,2000,11
WYOMING,2000,3
ALABAMA,2004,9
ALASKA,2004,3
ARIZONA,2004,10
ARKANSAS,2004,6
CALIFORNIA,2004,55
COLORADO,2004,9
CONNECTICUT,2004,7
DISTRICT OF COLUMBIA,2004,3
DELAWARE,2004,3
FLORIDA,2004,27
GEORGIA,2004,15
HAWAII,2004,4
IDAHO,2004,4
ILLINOIS,2004,21
INDIANA,2004,11
IOWA,2004,7
KANSAS,2004,6
KENTUCKY,2004,8
LOUISIANA,2004,9
MAINE,2004,4
MARYLAND,2004,10
MASSACHUSETTS,2004,12
MICHIGAN,2004,17
MINNESOTA,2004,10
MISSISSIPPI,2004,6
MISSOURI,2004,11
MONTANA,2004,3
NEBRASKA,2004,5
NEVADA,2004,5
NEW HAMPSHIRE,2004,4
NEW JERSEY,2004,15
NEW MEXICO,2004,5
NEW YORK,2004,31
NORTH CAROLINA,2004,15
NORTH DAKOTA,2004,3
OHIO,2004,20
OKLAHOMA,2004,7
OREGON,2004,7
PENNSYLVANIA,2004,21
RHODE ISLAND,2004,4
SOUTH CAROLINA,2004,8
SOUTH DAKOTA,2004,3
TENNESSEE,2004,11
TEXAS,2004,34
UTAH,2004,5
VERMONT,2004,3
VIRGINIA,2004,13
WASHINGTON,2004,11
WEST VIRGINIA,2004,5
WISCONSIN,2004,10
WYOMING,2004,3
ALABAMA,2008,9
ALASKA,2008,3
ARIZONA,2008,10
ARKANSAS,2008,6
CALIFORNIA,2008,55
COLORADO,2008,9
CONNECTICUT,2008,7
DISTRICT OF COLUMBIA,2008,3
DELAWARE,2008,3
FLORIDA,2008,27
GEORGIA,2008,15
HAWAII,2008,4
IDAHO,2008,4
ILLINOIS,2008,21
INDIANA,2008,11
IOWA,2008,7
KANSAS,2008,6
KENTUCKY,2008,8
LOUISIANA,2008,9
MAINE,2008,4
MARYLAND,2008,10
MASSACHUSETTS,2008,12
MICHIGAN,2008,17
MINNESOTA,2008,10
MISSISSIPPI,2008,6
MISSOURI,2008,11
MONTANA,2008,3
NEBRASKA,2008,5
NEVADA,2008,5
NEW HAMPSHIRE,2008,4
NEW JERSEY,2008,15
NEW MEXICO,2008,5
NEW YORK,2008,31
NORTH CAROLINA,2008,15
NORTH DAKOTA,2008,3
OHIO,2008,20
OKLAHOMA,2008,7
OREGON,2008,7
PENNSYLVANIA,2008,21
